"MD_","DataName","geometry","buildtime","releasetime"
"45","平均下陷速率圖_2001至2002","線","2016/03/31","2016/10/06"
"46","平均下陷速率圖_2002至2003","線","2016/03/31","2016/10/06"
"47","平均下陷速率圖_2003至2004","線","2016/03/31","2016/10/06"
"48","平均下陷速率圖_2004至2005","線","2016/03/31","2016/10/06"
"49","平均下陷速率圖_2005至2006","線","2016/03/31","2016/10/06"
"50","平均下陷速率圖_2006至2007","線","2016/03/31","2016/10/06"
"51","平均下陷速率圖_2007至2008","線","2016/03/31","2016/10/06"
"52","平均下陷速率圖_2008至2009","線","2016/03/31","2016/10/06"
"53","平均下陷速率圖_2009至2010","線","2016/03/31","2016/10/06"
"54","平均下陷速率圖_2010至2011","線","2016/03/31","2016/10/06"
"55","平均下陷速率圖_2011至2012","線","2016/03/31","2016/10/06"
"56","平均下陷速率圖_2012至2013","線","2016/03/31","2016/10/06"
"57","平均下陷速率圖_2013至2014","線","2016/03/31","2016/10/06"
"58","平均下陷速率圖_2014至2015","線","2016/03/31","2016/10/06"
"90","宜蘭地區累積下陷量等值圖_81至103年","線","2016/03/31","2016/10/06"
"82","舊高雄縣累積下陷量等值圖_91至98年","線","2016/12/05","2016/10/06"
"66","臺北累積下陷量等值圖_83至103年","線","2016/12/05","2016/10/06"
"33","地下水水質監測站位置圖","點","2007/05/31","2008"
"44","地下水分區範圍圖","面","2000","2008"
"98","自來水水質水量保護區圖","面","2021/03/26","2021/04/01"
"99","自來水水質水量保護區圖：邊界向內鄰近0.5公里範圍","面","2021/03/26","2021/04/01"
"100","自來水水質水量保護區圖：邊界向外鄰近0.5公里範圍","面","2021/03/26","2021/04/01"
"104","水庫集水區","面","2020/09/18","2020/10/21"
"105","水庫集水區敏感區範圍：邊界向內鄰近0.5公里範圍","面","2020/09/18","2020/10/21"
"106","水庫集水區敏感區範圍：邊界向外鄰近0.5公里範圍","面","2020/09/18","2020/10/21"
"96","水庫堰壩位置圖","點","2020/05/12","2020/05/14"
"97","水庫蓄水範圍","面","2020/03/31","2020/04/08"
"95","水利署及所屬單位位置圖","點","2012/7/26","2012/07"
"102","水資源局轄區範圍圖","面","2010/08/31","2010/08/31"
"103","水資源分區圖","面","2000","2008"
"101","台北水源特定區圖","面","2003/08/31","2008"
"115","中央管河川圖框","面","2021/05/25","2021/05/26"
"111","中央管河川區域線","線","2021/05/19","2021/05/24"
"112","中央管河川區域","面","2021/05/19","2021/05/24"
"113","一般性海堤區域","面","2021/05/19","2021/05/24"
"117","一般性海堤圖框","面","2021/05/19","2021/05/24"
"31","一級海岸災害防治區","面","2020/06/15","2020/11/17"
"32","一級海岸陸域緩衝區","面","2020/06/15","2020/11/17"
"21","淹水潛勢圖_定量降雨6小時150mm","面","2018/11/05","2020/08/24"
"22","淹水潛勢圖_定量降雨6小時250mm","面","2018/11/05","2020/08/24"
"23","淹水潛勢圖_定量降雨6小時350mm","面","2018/11/05","2020/08/24"
"24","淹水潛勢圖_定量降雨12小時200mm","面","2018/11/05","2020/08/24"
"25","淹水潛勢圖_定量降雨12小時300mm","面","2018/11/05","2020/08/24"
"26","淹水潛勢圖_定量降雨12小時400mm","面","2018/11/05","2020/08/24"
"27","淹水潛勢圖_定量降雨24小時200mm","面","2018/11/05","2020/08/24"
"28","淹水潛勢圖_定量降雨24小時350mm","面","2018/11/05","2020/08/24"
"29","淹水潛勢圖_定量降雨24小時500mm","面","2018/11/05","2020/08/24"
"30","淹水潛勢圖_定量降雨24小時650mm","面","2018/11/05","2020/08/24"
"116","中央管排水圖框","面","2017/03/22","2020/05/22"
"114","中央管排水設施範圍","面","2019/12/11","2020/05/22"
"107","水門位置圖","點","2001","2008"
"108","抽水站位置圖","點","2001","2008"
"110","堤防或護岸位置圖","線","2000","2008"
"6","河川斷面樁位置圖","點","2021/04/06","2021/04/08"
"12","河川斷面線位置圖","線","2021/04/06","2021/04/08"
"7","雨量站位置圖_水利署_現存站","點","2020/11/16","2021/01/19"
"8","雨量站位置圖_水利署_已廢站","點","2020/11/16","2021/01/19"
"1","河川水位測站位置圖_現存站","點","2020/11/16","2021/01/19"
"2","河川水位測站位置圖_已廢站","點","2020/11/16","2021/01/19"
"3","河川流量測站位置圖_現存站","點","2020/11/16","2021/01/19"
"4","河川流量測站位置圖_已廢站","點","2020/11/16","2021/01/19"
"5","含沙量測站位置圖","點","2020/11/16","2021/01/19"
"9","近海水文潮位站位置圖","點","2019/11/08","2019/12/11"
"10","近海水文氣象站位置圖","點","2019/11/08","2019/12/11"
"11","近海水文資料浮標站位置圖","點","2019/11/08","2019/12/11"
"20","地層下陷水準高程檢測點","點"," 2021/07/01","2021/07/07"
"21","磁環分層式地層下陷監測井","點"," 2021/07/01","2021/07/07"
"19","地層下陷GPS監測站","點","2021/06/10","2021/07/02"
"42","臺北平均下陷速率等值圖_108至109年","點","2021/6/11","2021/07/02"
"45","彰化累積下陷量等值圖_81至109年","線","2021/6/11","2021/07/02"
"47","彰化平均下陷速率等值圖_108至109年","線","2021/6/11","2021/07/02"
"38","平均下陷速率圖_2019至2020","線","2021/6/10","2021/07/02"
"39","全台累積下陷等值圖_至109年","線","2021/6/10","2021/07/02"
"40","臺北累積下陷量等值圖_83至109年","線","2021/6/11","2021/07/02"
"49","雲林累積下陷量等值圖_81至109年","線","2021/6/11","2021/07/02"
"51","雲林平均下陷速率等值圖_108至109年","線","2021/6/11","2021/07/02"
"53","嘉義累積下陷量等值圖_80至109年","線","2021/6/11","2021/07/02"
"55","嘉義平均下陷速率等值圖_108至109年","線","2021/6/11","2021/07/02"
"59","高雄累積下陷量等值圖_95至109年","線","2021/6/11","2021/07/02"
"60","高雄平均下陷速率等值圖_108至109年","線","2021/6/11","2021/07/02"
"62","屏東累積下陷量等值圖_90至109年","線","2021/6/11","2021/07/02"
"64","屏東平均下陷速率等值圖_108至109年","線","2021/6/11","2021/07/02"
"17","地下水觀測井位置圖_現存站","點","2020/11/16","2021/01/19"
"18","地下水觀測井位置圖_已廢站","點","2020/11/16","2021/01/19"
"46","彰化平均下陷速率等值圖_106至107年","線","2020/08/13","2020/09/15"
"36","平均下陷速率圖_2017至2018","線","2017/08/13","2020/09/15"
"63","屏東平均下陷速率等值圖_106至107年","線","2020/08/13","2020/09/15"
"54","嘉義平均下陷速率等值圖_106至107年","線","2020/08/13","2020/09/15"
"50","雲林平均下陷速率等值圖_106至107年","線","2020/08/13","2020/09/15"
"66","宜蘭平均下陷速率等值圖_106至107年","線","2020/08/13","2020/09/15"
"73","地下水第一級管制區","面","2018/12/25","2020/07/24"
"74","地下水第二級管制區","面","2018/12/25","2020/07/24"
"52","嘉義累積下陷量等值圖_80至108年","線","2020/01/31","2020/05/05"
"56","臺南累積下陷量等值圖_90至108年","線","2020/01/31","2020/05/05"
"61","屏東累積下陷量等值圖_83至108年","線","2020/01/31","2020/05/05"
"44","彰化累積下陷量等值圖_81至108年","線","2020/01/31","2020/05/05"
"37","平均下陷速率圖_2018至2019","線","2020/01/31","2020/05/05"
"48","雲林累積下陷量等值圖_81至108年","線","2020/01/31","2020/05/05"
"43","桃園累積下陷量等值圖_91至106年","線","2018/01/05","2018/06/06"
"58","高雄累積下陷量等值圖_95至104年","線","2016/12/05","2017/10/26"
"65","宜蘭地區累積下陷量等值圖_81至103年","線","2016/03/31","2016/10/06"
"57","舊高雄縣累積下陷量等值圖_91至98年","線","2016/12/05","2016/10/06"
"41","臺北累積下陷量等值圖_83至103年","線","2016/12/05","2016/10/06"
"22","平均下陷速率圖_2001至2002","線","2016/03/31","2016/10/06"
"23","平均下陷速率圖_2002至2003","線","2016/03/31","2016/10/06"
"24","平均下陷速率圖_2003至2004","線","2016/03/31","2016/10/06"
"25","平均下陷速率圖_2004至2005","線","2016/03/31","2016/10/06"
"26","平均下陷速率圖_2005至2006","線","2016/03/31","2016/10/06"
"27","平均下陷速率圖_2006至2007","線","2016/03/31","2016/10/06"
"28","平均下陷速率圖_2007至2008","線","2016/03/31","2016/10/06"
"29","平均下陷速率圖_2008至2009","線","2016/03/31","2016/10/06"
"30","平均下陷速率圖_2009至2010","線","2016/03/31","2016/10/06"
"31","平均下陷速率圖_2010至2011","線","2016/03/31","2016/10/06"
"32","平均下陷速率圖_2011至2012","線","2016/03/31","2016/10/06"
"33","平均下陷速率圖_2012至2013","線","2016/03/31","2016/10/06"
"34","平均下陷速率圖_2013至2014","線","2016/03/31","2016/10/06"
"35","平均下陷速率圖_2014至2015","線","2016/03/31","2016/10/06"
"16","地下水水質監測站位置圖","點","2007/05/31","2008"
"67","地下水分區範圍圖","面","2000/07/31","2008"
"80","自來水水質水量保護區圖","面","2021/03/26","2021/04/01"
"81","自來水水質水量保護區圖：邊界向內鄰近0.5公里範圍","面","2021/03/26","2021/04/01"
"82","自來水水質水量保護區圖：邊界向外鄰近0.5公里範圍","面","2021/03/26","2021/04/01"
"75","水庫集水區","面","2020/09/18","2020/10/21"
"76","水庫集水區敏感區範圍：邊界向內鄰近0.5公里範圍","面","2020/09/18","2020/10/21"
"77","水庫集水區敏感區範圍：邊界向外鄰近0.5公里範圍","面","2020/09/18","2020/10/21"
"68","水利署及所屬單位位置圖","點","2012/7/26","2012/7"
"13","中央管河川圖框","面","2021/05/25","2021/05/26"
"72","中央管河川區域線","線","2021/05/19","2021/05/24"
"15","一般性海堤圖框","面","2021/05/19","2021/05/24"
"69","中央管河川區域","面","2021/05/19","2021/05/24"
"70","一般性海堤區域","面","2021/05/19","2021/05/24"
"78","一級海岸災害防治區","面","2020/06/15","2020/11/17"
"79","一級海岸陸域緩衝區","面","2020/06/15","2020/11/17"
"14","中央管排水圖框","面","2017/03/22","2020/05/22"
"71","中央管排水設施範圍","面","2019/12/11","2020/05/22"
