"確定病名","發病年份","發病週別","縣市","鄉鎮","性別","是否為境外移入","年齡層","確定病例數"
"嚴重特殊傳染性肺炎","2020","13","空值","空值","F","是","65-69",2
"嚴重特殊傳染性肺炎","2020","13","空值","空值","F","是","70+",1
"嚴重特殊傳染性肺炎","2020","13","空值","空值","M","是","15-19",3
"嚴重特殊傳染性肺炎","2020","13","空值","空值","M","是","20-24",7
"嚴重特殊傳染性肺炎","2020","13","空值","空值","M","是","25-29",6
"嚴重特殊傳染性肺炎","2020","13","空值","空值","M","是","30-34",4
"嚴重特殊傳染性肺炎","2020","13","空值","空值","M","是","40-44",3
"嚴重特殊傳染性肺炎","2020","13","空值","空值","M","是","45-49",3
"嚴重特殊傳染性肺炎","2020","13","空值","空值","M","是","50-54",1
"嚴重特殊傳染性肺炎","2020","13","空值","空值","M","是","55-59",2
"嚴重特殊傳染性肺炎","2020","13","空值","空值","M","是","60-64",3
"嚴重特殊傳染性肺炎","2020","13","空值","空值","M","是","65-69",2
"嚴重特殊傳染性肺炎","2020","13","桃園市","中壢區","M","否","35-39",1
"嚴重特殊傳染性肺炎","2020","13","桃園市","中壢區","M","否","5-9",1
"嚴重特殊傳染性肺炎","2020","13","基隆市","仁愛區","M","否","65-69",1
"嚴重特殊傳染性肺炎","2020","13","新北市","汐止區","M","否","50-54",1
"嚴重特殊傳染性肺炎","2020","13","新北市","三重區","M","否","70+",1
"嚴重特殊傳染性肺炎","2020","13","新竹市","東區","M","否","4",1
"嚴重特殊傳染性肺炎","2020","14","空值","空值","F","是","20-24",3
"嚴重特殊傳染性肺炎","2020","14","空值","空值","F","是","25-29",1
"嚴重特殊傳染性肺炎","2020","14","空值","空值","F","是","30-34",3
"嚴重特殊傳染性肺炎","2020","14","空值","空值","F","是","35-39",2
"嚴重特殊傳染性肺炎","2020","14","空值","空值","F","是","40-44",2
"嚴重特殊傳染性肺炎","2020","14","空值","空值","F","是","45-49",1
"嚴重特殊傳染性肺炎","2020","14","空值","空值","F","是","55-59",1
"嚴重特殊傳染性肺炎","2020","14","空值","空值","F","是","60-64",3
"嚴重特殊傳染性肺炎","2020","14","空值","空值","F","是","65-69",1
"嚴重特殊傳染性肺炎","2020","14","空值","空值","M","是","20-24",3
"嚴重特殊傳染性肺炎","2020","14","空值","空值","M","是","25-29",4
"嚴重特殊傳染性肺炎","2020","14","空值","空值","M","是","30-34",1
"嚴重特殊傳染性肺炎","2020","14","空值","空值","M","是","35-39",1
"嚴重特殊傳染性肺炎","2020","14","空值","空值","M","是","55-59",1
"嚴重特殊傳染性肺炎","2020","14","空值","空值","M","是","60-64",2
"嚴重特殊傳染性肺炎","2020","14","空值","空值","M","是","65-69",2
"嚴重特殊傳染性肺炎","2020","14","空值","空值","M","是","70+",1
"嚴重特殊傳染性肺炎","2020","14","桃園市","蘆竹區","F","否","30-34",1
"嚴重特殊傳染性肺炎","2020","14","桃園市","龜山區","M","否","45-49",1
"嚴重特殊傳染性肺炎","2020","15","台北市","文山區","M","否","20-24",1
"嚴重特殊傳染性肺炎","2020","15","空值","空值","F","是","20-24",1
"嚴重特殊傳染性肺炎","2020","15","空值","空值","F","是","35-39",1
"嚴重特殊傳染性肺炎","2020","15","空值","空值","F","是","60-64",2
"嚴重特殊傳染性肺炎","2020","15","空值","空值","F","是","65-69",1
"嚴重特殊傳染性肺炎","2020","15","空值","空值","M","是","25-29",1
"嚴重特殊傳染性肺炎","2020","15","空值","空值","M","是","65-69",1
"嚴重特殊傳染性肺炎","2020","15","新北市","淡水區","M","否","25-29",1
"嚴重特殊傳染性肺炎","2020","16","空值","空值","F","是","20-24",2
"嚴重特殊傳染性肺炎","2020","16","空值","空值","F","是","25-29",1
"嚴重特殊傳染性肺炎","2020","16","空值","空值","F","是","30-34",1
"嚴重特殊傳染性肺炎","2020","16","空值","空值","M","是","20-24",6
"嚴重特殊傳染性肺炎","2020","16","空值","空值","M","是","25-29",6
"嚴重特殊傳染性肺炎","2020","16","空值","空值","M","是","30-34",2
"嚴重特殊傳染性肺炎","2020","16","空值","空值","M","是","35-39",3
"嚴重特殊傳染性肺炎","2020","16","空值","空值","M","是","40-44",1
"嚴重特殊傳染性肺炎","2020","17","空值","空值","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","17","空值","空值","M","是","25-29",3
"嚴重特殊傳染性肺炎","2020","17","空值","空值","M","是","30-34",1
"嚴重特殊傳染性肺炎","2020","18","空值","空值","F","是","35-39",2
"嚴重特殊傳染性肺炎","2020","18","空值","空值","M","是","30-34",1
"嚴重特殊傳染性肺炎","2020","18","空值","空值","M","是","40-44",1
"嚴重特殊傳染性肺炎","2020","19","空值","空值","F","是","25-29",1
"嚴重特殊傳染性肺炎","2020","19","空值","空值","M","是","20-24",4
"嚴重特殊傳染性肺炎","2020","2","空值","空值","F","是","55-59",1
"嚴重特殊傳染性肺炎","2020","20","空值","空值","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","21","空值","空值","F","是","50-54",1
"嚴重特殊傳染性肺炎","2020","21","空值","空值","M","是","55-59",1
"嚴重特殊傳染性肺炎","2020","22","空值","空值","F","是","45-49",1
"嚴重特殊傳染性肺炎","2020","23","空值","空值","M","是","60-64",1
"嚴重特殊傳染性肺炎","2020","25","空值","空值","F","是","35-39",1
"嚴重特殊傳染性肺炎","2020","25","空值","空值","M","是","35-39",1
"嚴重特殊傳染性肺炎","2020","25","空值","空值","M","是","50-54",1
"嚴重特殊傳染性肺炎","2020","25","空值","空值","M","是","65-69",1
"嚴重特殊傳染性肺炎","2020","26","空值","空值","M","是","55-59",1
"嚴重特殊傳染性肺炎","2020","27","空值","空值","M","是","55-59",1
"嚴重特殊傳染性肺炎","2020","28","空值","空值","F","是","25-29",1
"嚴重特殊傳染性肺炎","2020","28","空值","空值","M","是","40-44",1
"嚴重特殊傳染性肺炎","2020","28","空值","空值","M","是","70+",1
"嚴重特殊傳染性肺炎","2020","29","空值","空值","F","是","25-29",2
"嚴重特殊傳染性肺炎","2020","29","空值","空值","F","是","35-39",2
"嚴重特殊傳染性肺炎","2020","29","空值","空值","F","是","70+",1
"嚴重特殊傳染性肺炎","2020","29","空值","空值","M","是","25-29",1
"嚴重特殊傳染性肺炎","2020","29","空值","空值","M","是","35-39",2
"嚴重特殊傳染性肺炎","2020","29","空值","空值","M","是","40-44",1
"嚴重特殊傳染性肺炎","2020","29","空值","空值","M","是","50-54",1
"嚴重特殊傳染性肺炎","2020","29","空值","空值","M","是","60-64",1
"嚴重特殊傳染性肺炎","2020","30","空值","空值","F","是","25-29",1
"嚴重特殊傳染性肺炎","2020","30","空值","空值","F","是","55-59",1
"嚴重特殊傳染性肺炎","2020","30","空值","空值","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","30","空值","空值","M","是","50-54",1
"嚴重特殊傳染性肺炎","2020","30","空值","空值","M","是","60-64",1
"嚴重特殊傳染性肺炎","2020","30","空值","空值","M","是","65-69",1
"嚴重特殊傳染性肺炎","2020","31","空值","空值","F","是","20-24",1
"嚴重特殊傳染性肺炎","2020","31","空值","空值","F","是","25-29",1
"嚴重特殊傳染性肺炎","2020","31","空值","空值","F","是","55-59",1
"嚴重特殊傳染性肺炎","2020","31","空值","空值","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","31","空值","空值","M","是","25-29",1
"嚴重特殊傳染性肺炎","2020","31","空值","空值","M","是","45-49",1
"嚴重特殊傳染性肺炎","2020","31","空值","空值","M","是","50-54",1
"嚴重特殊傳染性肺炎","2020","31","空值","空值","M","是","60-64",1
"嚴重特殊傳染性肺炎","2020","31","空值","空值","M","是","70+",1
"嚴重特殊傳染性肺炎","2020","32","空值","空值","F","是","30-34",1
"嚴重特殊傳染性肺炎","2020","32","空值","空值","F","是","60-64",1
"嚴重特殊傳染性肺炎","2020","32","空值","空值","M","是","40-44",1
"嚴重特殊傳染性肺炎","2020","32","空值","空值","M","是","50-54",1
"嚴重特殊傳染性肺炎","2020","32","空值","空值","M","是","60-64",1
"嚴重特殊傳染性肺炎","2020","33","空值","空值","F","是","25-29",1
"嚴重特殊傳染性肺炎","2020","33","空值","空值","F","是","35-39",1
"嚴重特殊傳染性肺炎","2020","33","空值","空值","M","是","15-19",1
"嚴重特殊傳染性肺炎","2020","33","空值","空值","M","是","60-64",1
"嚴重特殊傳染性肺炎","2020","34","空值","空值","M","是","45-49",1
"嚴重特殊傳染性肺炎","2020","35","空值","空值","F","是","40-44",1
"嚴重特殊傳染性肺炎","2020","35","空值","空值","F","是","50-54",1
"嚴重特殊傳染性肺炎","2020","35","空值","空值","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","35","空值","空值","M","是","30-34",1
"嚴重特殊傳染性肺炎","2020","36","空值","空值","F","是","25-29",1
"嚴重特殊傳染性肺炎","2020","36","空值","空值","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","36","空值","空值","M","是","30-34",1
"嚴重特殊傳染性肺炎","2020","36","空值","空值","M","是","45-49",2
"嚴重特殊傳染性肺炎","2020","37","空值","空值","F","是","25-29",2
"嚴重特殊傳染性肺炎","2020","37","空值","空值","F","是","30-34",1
"嚴重特殊傳染性肺炎","2020","37","空值","空值","M","是","30-34",1
"嚴重特殊傳染性肺炎","2020","37","空值","空值","M","是","35-39",1
"嚴重特殊傳染性肺炎","2020","37","空值","空值","M","是","60-64",1
"嚴重特殊傳染性肺炎","2020","38","空值","空值","F","是","30-34",1
"嚴重特殊傳染性肺炎","2020","38","空值","空值","F","是","35-39",1
"嚴重特殊傳染性肺炎","2020","38","空值","空值","F","是","40-44",1
"嚴重特殊傳染性肺炎","2020","38","空值","空值","M","是","25-29",2
"嚴重特殊傳染性肺炎","2020","38","空值","空值","M","是","35-39",2
"嚴重特殊傳染性肺炎","2020","38","空值","空值","M","是","40-44",2
"嚴重特殊傳染性肺炎","2020","39","空值","空值","M","是","25-29",1
"嚴重特殊傳染性肺炎","2020","39","空值","空值","M","是","35-39",2
"嚴重特殊傳染性肺炎","2020","39","空值","空值","M","是","40-44",1
"嚴重特殊傳染性肺炎","2020","4","空值","空值","F","是","50-54",2
"嚴重特殊傳染性肺炎","2020","4","空值","空值","F","是","55-59",1
"嚴重特殊傳染性肺炎","2020","4","空值","空值","F","是","70+",2
"嚴重特殊傳染性肺炎","2020","4","空值","空值","M","是","40-44",1
"嚴重特殊傳染性肺炎","2020","4","空值","空值","M","是","50-54",1
"嚴重特殊傳染性肺炎","2020","4","空值","空值","M","是","55-59",1
"嚴重特殊傳染性肺炎","2020","4","新北市","林口區","F","否","65-69",1
"嚴重特殊傳染性肺炎","2020","40","空值","空值","F","是","20-24",1
"嚴重特殊傳染性肺炎","2020","40","空值","空值","M","是","30-34",1
"嚴重特殊傳染性肺炎","2020","40","空值","空值","M","是","40-44",1
"嚴重特殊傳染性肺炎","2020","40","空值","空值","M","是","50-54",1
"嚴重特殊傳染性肺炎","2020","41","空值","空值","F","是","15-19",1
"嚴重特殊傳染性肺炎","2020","41","空值","空值","F","是","25-29",4
"嚴重特殊傳染性肺炎","2020","41","空值","空值","F","是","35-39",1
"嚴重特殊傳染性肺炎","2020","41","空值","空值","M","是","15-19",1
"嚴重特殊傳染性肺炎","2020","41","空值","空值","M","是","25-29",2
"嚴重特殊傳染性肺炎","2020","41","空值","空值","M","是","30-34",1
"嚴重特殊傳染性肺炎","2020","41","空值","空值","M","是","35-39",2
"嚴重特殊傳染性肺炎","2020","41","空值","空值","M","是","50-54",2
"嚴重特殊傳染性肺炎","2020","42","空值","空值","F","是","15-19",3
"嚴重特殊傳染性肺炎","2020","42","空值","空值","F","是","30-34",1
"嚴重特殊傳染性肺炎","2020","42","空值","空值","F","是","35-39",1
"嚴重特殊傳染性肺炎","2020","42","空值","空值","F","是","50-54",1
"嚴重特殊傳染性肺炎","2020","42","空值","空值","M","是","15-19",1
"嚴重特殊傳染性肺炎","2020","42","空值","空值","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","42","空值","空值","M","是","30-34",2
"嚴重特殊傳染性肺炎","2020","42","空值","空值","M","是","35-39",4
"嚴重特殊傳染性肺炎","2020","42","空值","空值","M","是","40-44",1
"嚴重特殊傳染性肺炎","2020","43","空值","空值","F","是","15-19",1
"嚴重特殊傳染性肺炎","2020","43","空值","空值","F","是","20-24",1
"嚴重特殊傳染性肺炎","2020","43","空值","空值","F","是","25-29",1
"嚴重特殊傳染性肺炎","2020","43","空值","空值","F","是","30-34",1
"嚴重特殊傳染性肺炎","2020","43","空值","空值","M","是","25-29",1
"嚴重特殊傳染性肺炎","2020","43","空值","空值","M","是","35-39",1
"嚴重特殊傳染性肺炎","2020","43","空值","空值","M","是","60-64",1
"嚴重特殊傳染性肺炎","2020","44","空值","空值","F","是","20-24",1
"嚴重特殊傳染性肺炎","2020","44","空值","空值","F","是","25-29",3
"嚴重特殊傳染性肺炎","2020","44","空值","空值","F","是","30-34",3
"嚴重特殊傳染性肺炎","2020","44","空值","空值","F","是","35-39",1
"嚴重特殊傳染性肺炎","2020","44","空值","空值","F","是","60-64",1
"嚴重特殊傳染性肺炎","2020","44","空值","空值","M","是","15-19",1
"嚴重特殊傳染性肺炎","2020","44","空值","空值","M","是","25-29",2
"嚴重特殊傳染性肺炎","2020","44","空值","空值","M","是","30-34",2
"嚴重特殊傳染性肺炎","2020","44","空值","空值","M","是","35-39",1
"嚴重特殊傳染性肺炎","2020","44","空值","空值","M","是","50-54",1
"嚴重特殊傳染性肺炎","2020","45","空值","空值","F","是","15-19",2
"嚴重特殊傳染性肺炎","2020","45","空值","空值","F","是","20-24",2
"嚴重特殊傳染性肺炎","2020","45","空值","空值","F","是","25-29",2
"嚴重特殊傳染性肺炎","2020","45","空值","空值","F","是","30-34",2
"嚴重特殊傳染性肺炎","2020","45","空值","空值","F","是","40-44",3
"嚴重特殊傳染性肺炎","2020","45","空值","空值","F","是","55-59",2
"嚴重特殊傳染性肺炎","2020","45","空值","空值","M","是","15-19",1
"嚴重特殊傳染性肺炎","2020","45","空值","空值","M","是","20-24",2
"嚴重特殊傳染性肺炎","2020","45","空值","空值","M","是","25-29",1
"嚴重特殊傳染性肺炎","2020","45","空值","空值","M","是","45-49",1
"嚴重特殊傳染性肺炎","2020","45","空值","空值","M","是","50-54",1
"嚴重特殊傳染性肺炎","2020","46","空值","空值","F","是","20-24",3
"嚴重特殊傳染性肺炎","2020","46","空值","空值","F","是","25-29",3
"嚴重特殊傳染性肺炎","2020","46","空值","空值","F","是","30-34",4
"嚴重特殊傳染性肺炎","2020","46","空值","空值","F","是","35-39",7
"嚴重特殊傳染性肺炎","2020","46","空值","空值","F","是","45-49",1
"嚴重特殊傳染性肺炎","2020","46","空值","空值","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","46","空值","空值","M","是","25-29",1
"嚴重特殊傳染性肺炎","2020","46","空值","空值","M","是","30-34",1
"嚴重特殊傳染性肺炎","2020","46","空值","空值","M","是","55-59",1
"嚴重特殊傳染性肺炎","2020","46","空值","空值","M","是","65-69",1
"嚴重特殊傳染性肺炎","2020","47","空值","空值","F","是","20-24",5
"嚴重特殊傳染性肺炎","2020","47","空值","空值","F","是","25-29",1
"嚴重特殊傳染性肺炎","2020","47","空值","空值","F","是","30-34",4
"嚴重特殊傳染性肺炎","2020","47","空值","空值","F","是","35-39",1
"嚴重特殊傳染性肺炎","2020","47","空值","空值","F","是","40-44",1
"嚴重特殊傳染性肺炎","2020","47","空值","空值","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","47","空值","空值","M","是","30-34",1
"嚴重特殊傳染性肺炎","2020","47","空值","空值","M","是","45-49",1
"嚴重特殊傳染性肺炎","2020","48","空值","空值","F","是","20-24",10
"嚴重特殊傳染性肺炎","2020","48","空值","空值","F","是","25-29",9
"嚴重特殊傳染性肺炎","2020","48","空值","空值","F","是","30-34",3
"嚴重特殊傳染性肺炎","2020","48","空值","空值","F","是","35-39",8
"嚴重特殊傳染性肺炎","2020","48","空值","空值","F","是","40-44",7
"嚴重特殊傳染性肺炎","2020","48","空值","空值","F","是","45-49",1
"嚴重特殊傳染性肺炎","2020","48","空值","空值","F","是","50-54",1
"嚴重特殊傳染性肺炎","2020","48","空值","空值","M","是","20-24",2
"嚴重特殊傳染性肺炎","2020","48","空值","空值","M","是","25-29",2
"嚴重特殊傳染性肺炎","2020","48","空值","空值","M","是","30-34",5
"嚴重特殊傳染性肺炎","2020","48","空值","空值","M","是","50-54",2
"嚴重特殊傳染性肺炎","2020","49","空值","空值","F","是","20-24",6
"嚴重特殊傳染性肺炎","2020","49","空值","空值","F","是","25-29",9
"嚴重特殊傳染性肺炎","2020","49","空值","空值","F","是","30-34",5
"嚴重特殊傳染性肺炎","2020","49","空值","空值","F","是","35-39",2
"嚴重特殊傳染性肺炎","2020","49","空值","空值","F","是","40-44",5
"嚴重特殊傳染性肺炎","2020","49","空值","空值","F","是","45-49",1
"嚴重特殊傳染性肺炎","2020","49","空值","空值","F","是","55-59",1
"嚴重特殊傳染性肺炎","2020","49","空值","空值","M","是","20-24",2
"嚴重特殊傳染性肺炎","2020","49","空值","空值","M","是","25-29",3
"嚴重特殊傳染性肺炎","2020","49","空值","空值","M","是","35-39",2
"嚴重特殊傳染性肺炎","2020","49","空值","空值","M","是","40-44",2
"嚴重特殊傳染性肺炎","2020","49","空值","空值","M","是","45-49",3
"嚴重特殊傳染性肺炎","2020","49","空值","空值","M","是","50-54",1
"嚴重特殊傳染性肺炎","2020","49","空值","空值","M","是","70+",2
"嚴重特殊傳染性肺炎","2020","5","台中市","太平區","M","否","30-34",1
"嚴重特殊傳染性肺炎","2020","5","空值","空值","F","是","25-29",1
"嚴重特殊傳染性肺炎","2020","5","空值","空值","F","是","45-49",1
"嚴重特殊傳染性肺炎","2020","5","空值","空值","F","是","50-54",1
"嚴重特殊傳染性肺炎","2020","5","空值","空值","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","5","南投縣","南投市","F","否","40-44",1
"嚴重特殊傳染性肺炎","2020","5","新北市","新莊區","F","否","20-24",1
"嚴重特殊傳染性肺炎","2020","5","新北市","新店區","M","否","45-49",1
"嚴重特殊傳染性肺炎","2020","5","新北市","新店區","M","否","50-54",1
"嚴重特殊傳染性肺炎","2020","5","彰化縣","和美鎮","M","否","50-54",1
"嚴重特殊傳染性肺炎","2020","5","彰化縣","彰化市","M","否","60-64",1
"嚴重特殊傳染性肺炎","2020","50","空值","空值","F","是","10-14",1
"嚴重特殊傳染性肺炎","2020","50","空值","空值","F","是","20-24",4
"嚴重特殊傳染性肺炎","2020","50","空值","空值","F","是","25-29",2
"嚴重特殊傳染性肺炎","2020","50","空值","空值","F","是","30-34",2
"嚴重特殊傳染性肺炎","2020","50","空值","空值","F","是","35-39",3
"嚴重特殊傳染性肺炎","2020","50","空值","空值","F","是","40-44",2
"嚴重特殊傳染性肺炎","2020","50","空值","空值","F","是","50-54",1
"嚴重特殊傳染性肺炎","2020","50","空值","空值","F","是","60-64",1
"嚴重特殊傳染性肺炎","2020","50","空值","空值","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","50","空值","空值","M","是","25-29",3
"嚴重特殊傳染性肺炎","2020","50","空值","空值","M","是","3",1
"嚴重特殊傳染性肺炎","2020","50","空值","空值","M","是","30-34",1
"嚴重特殊傳染性肺炎","2020","50","空值","空值","M","是","40-44",2
"嚴重特殊傳染性肺炎","2020","50","空值","空值","M","是","45-49",2
"嚴重特殊傳染性肺炎","2020","50","空值","空值","M","是","60-64",1
"嚴重特殊傳染性肺炎","2020","51","空值","空值","F","是","20-24",5
"嚴重特殊傳染性肺炎","2020","51","空值","空值","F","是","25-29",1
"嚴重特殊傳染性肺炎","2020","51","空值","空值","F","是","30-34",3
"嚴重特殊傳染性肺炎","2020","51","空值","空值","F","是","40-44",1
"嚴重特殊傳染性肺炎","2020","51","空值","空值","F","是","45-49",1
"嚴重特殊傳染性肺炎","2020","51","空值","空值","M","是","20-24",4
"嚴重特殊傳染性肺炎","2020","51","空值","空值","M","是","25-29",3
"嚴重特殊傳染性肺炎","2020","51","空值","空值","M","是","30-34",1
"嚴重特殊傳染性肺炎","2020","51","空值","空值","M","是","35-39",2
"嚴重特殊傳染性肺炎","2020","51","空值","空值","M","是","40-44",1
"嚴重特殊傳染性肺炎","2020","51","空值","空值","M","是","50-54",1
"嚴重特殊傳染性肺炎","2020","51","空值","空值","M","是","55-59",1
"嚴重特殊傳染性肺炎","2020","51","空值","空值","M","是","65-69",1
"嚴重特殊傳染性肺炎","2020","51","桃園市","龜山區","F","否","30-34",1
"嚴重特殊傳染性肺炎","2020","52","空值","空值","F","是","20-24",1
"嚴重特殊傳染性肺炎","2020","52","空值","空值","F","是","25-29",2
"嚴重特殊傳染性肺炎","2020","52","空值","空值","F","是","30-34",3
"嚴重特殊傳染性肺炎","2020","52","空值","空值","F","是","35-39",1
"嚴重特殊傳染性肺炎","2020","52","空值","空值","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","52","空值","空值","M","是","25-29",6
"嚴重特殊傳染性肺炎","2020","52","空值","空值","M","是","30-34",3
