"確定病名","發病年份","縣市","性別","是否為境外移入","年齡層","發病週別.x","確定病例數.x","發病週別.y","確定病例數.y"
"嚴重特殊傳染性肺炎","2020","台中市","M","是","50-54",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","台中市","M","是","55-59",NA,NA,"21",1
"嚴重特殊傳染性肺炎","2020","台中市","M","是","60-64",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","台中市","M","是","60-64",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","台中市","M","是","65-69",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台中市","M","是","65-69",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","15-19",NA,NA,"10",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","15-19",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","20-24",NA,NA,"11",3
"嚴重特殊傳染性肺炎","2020","台北市","F","是","20-24",NA,NA,"12",10
"嚴重特殊傳染性肺炎","2020","台北市","F","是","20-24",NA,NA,"13",4
"嚴重特殊傳染性肺炎","2020","台北市","F","是","20-24",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","20-24",NA,NA,"15",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","25-29",NA,NA,"10",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","25-29",NA,NA,"11",3
"嚴重特殊傳染性肺炎","2020","台北市","F","是","25-29",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","25-29",NA,NA,"13",3
"嚴重特殊傳染性肺炎","2020","台北市","F","是","25-29",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","25-29",NA,NA,"28",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","25-29",NA,NA,"30",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","30-34",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","30-34",NA,NA,"12",3
"嚴重特殊傳染性肺炎","2020","台北市","F","是","30-34",NA,NA,"13",4
"嚴重特殊傳染性肺炎","2020","台北市","F","是","35-39",NA,NA,"10",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","35-39",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","35-39",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","35-39",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","40-44",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","40-44",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","45-49",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","45-49",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","50-54",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","50-54",NA,NA,"21",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","50-54",NA,NA,"4",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","50-54",NA,NA,"5",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","55-59",NA,NA,"11",2
"嚴重特殊傳染性肺炎","2020","台北市","F","是","55-59",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","55-59",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","55-59",NA,NA,"4",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","60-64",NA,NA,"11",2
"嚴重特殊傳染性肺炎","2020","台北市","F","是","60-64",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","60-64",NA,NA,"15",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","65-69",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","65-69",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","65-69",NA,NA,"8",1
"嚴重特殊傳染性肺炎","2020","台北市","F","是","70+",NA,NA,"9",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","20-24",NA,NA,"11",3
"嚴重特殊傳染性肺炎","2020","台北市","M","是","20-24",NA,NA,"12",2
"嚴重特殊傳染性肺炎","2020","台北市","M","是","20-24",NA,NA,"16",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","20-24",NA,NA,"31",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","20-24",NA,NA,"5",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","20-24",NA,NA,"6",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","25-29",NA,NA,"11",3
"嚴重特殊傳染性肺炎","2020","台北市","M","是","25-29",NA,NA,"12",2
"嚴重特殊傳染性肺炎","2020","台北市","M","是","25-29",NA,NA,"15",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","30-34",NA,NA,"10",2
"嚴重特殊傳染性肺炎","2020","台北市","M","是","30-34",NA,NA,"11",3
"嚴重特殊傳染性肺炎","2020","台北市","M","是","30-34",NA,NA,"12",2
"嚴重特殊傳染性肺炎","2020","台北市","M","是","35-39",NA,NA,"10",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","35-39",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","35-39",NA,NA,"12",2
"嚴重特殊傳染性肺炎","2020","台北市","M","是","35-39",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","40-44",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","40-44",NA,NA,"12",3
"嚴重特殊傳染性肺炎","2020","台北市","M","是","40-44",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","45-49",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","45-49",NA,NA,"31",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","45-49",NA,NA,"6",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","50-54",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","50-54",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","50-54",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","50-54",NA,NA,"30",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","50-54",NA,NA,"31",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","50-54",NA,NA,"4",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","55-59",NA,NA,"11",2
"嚴重特殊傳染性肺炎","2020","台北市","M","是","55-59",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","60-64",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","60-64",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","60-64",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","65-69",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","65-69",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","70+",NA,NA,"10",1
"嚴重特殊傳染性肺炎","2020","台北市","M","是","70+",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台南市","F","是","15-19",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台南市","F","是","20-24",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台南市","F","是","20-24",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","台南市","F","是","25-29",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","台南市","F","是","45-49",NA,NA,"5",1
"嚴重特殊傳染性肺炎","2020","台南市","M","是","15-19",NA,NA,"12",2
"嚴重特殊傳染性肺炎","2020","台南市","M","是","20-24",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","台南市","M","是","20-24",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","台南市","M","是","20-24",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","台南市","M","是","20-24",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","台南市","M","是","30-34",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","台南市","M","是","30-34",NA,NA,"16",1
"嚴重特殊傳染性肺炎","2020","台南市","M","是","45-49",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","台南市","M","是","50-54",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","嘉義市","F","是","20-24",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","嘉義市","F","是","20-24",NA,NA,"16",1
"嚴重特殊傳染性肺炎","2020","嘉義市","M","是","25-29",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","嘉義市","M","是","30-34",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","嘉義縣","F","是","20-24",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","嘉義縣","M","是","20-24",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","基隆市","F","是","20-24",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","基隆市","F","是","30-34",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","基隆市","F","是","35-39",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","基隆市","F","是","60-64",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","基隆市","M","是","25-29",NA,NA,"17",1
"嚴重特殊傳染性肺炎","2020","基隆市","M","是","30-34",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","宜蘭縣","F","是","20-24",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","宜蘭縣","F","是","25-29",NA,NA,"5",1
"嚴重特殊傳染性肺炎","2020","屏東縣","F","是","30-34",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","屏東縣","F","是","35-39",NA,NA,"9",1
"嚴重特殊傳染性肺炎","2020","屏東縣","F","是","55-59",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","屏東縣","M","是","20-24",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","屏東縣","M","是","20-24",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","屏東縣","M","是","20-24",NA,NA,"16",3
"嚴重特殊傳染性肺炎","2020","屏東縣","M","是","25-29",NA,NA,"16",1
"嚴重特殊傳染性肺炎","2020","屏東縣","M","是","30-34",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","屏東縣","M","是","55-59",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","屏東縣","M","是","65-69",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","彰化縣","F","是","15-19",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","彰化縣","F","是","20-24",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","彰化縣","F","是","20-24",NA,NA,"12",2
"嚴重特殊傳染性肺炎","2020","彰化縣","F","是","20-24",NA,NA,"13",2
"嚴重特殊傳染性肺炎","2020","彰化縣","F","是","25-29",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","彰化縣","F","是","30-34",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","彰化縣","F","是","35-39",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","彰化縣","F","是","50-54",NA,NA,"4",1
"嚴重特殊傳染性肺炎","2020","彰化縣","M","是","20-24",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","彰化縣","M","是","20-24",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","彰化縣","M","是","25-29",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","彰化縣","M","是","25-29",NA,NA,"31",1
"嚴重特殊傳染性肺炎","2020","彰化縣","M","是","30-34",NA,NA,"18",1
"嚴重特殊傳染性肺炎","2020","彰化縣","M","是","55-59",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","15-19",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","15-19",NA,NA,"13",2
"嚴重特殊傳染性肺炎","2020","新北市","F","是","20-24",NA,NA,"10",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","20-24",NA,NA,"11",2
"嚴重特殊傳染性肺炎","2020","新北市","F","是","20-24",NA,NA,"12",4
"嚴重特殊傳染性肺炎","2020","新北市","F","是","20-24",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","25-29",NA,NA,"10",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","25-29",NA,NA,"12",2
"嚴重特殊傳染性肺炎","2020","新北市","F","是","25-29",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","25-29",NA,NA,"29",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","30-34",NA,NA,"10",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","30-34",NA,NA,"11",5
"嚴重特殊傳染性肺炎","2020","新北市","F","是","30-34",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","30-34",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","35-39",NA,NA,"11",2
"嚴重特殊傳染性肺炎","2020","新北市","F","是","35-39",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","40-44",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","45-49",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","45-49",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","50-54",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","50-54",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","60-64",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","60-64",NA,NA,"15",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","65-69",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","65-69",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","70+",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","70+",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","15-19",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","20-24",NA,NA,"11",2
"嚴重特殊傳染性肺炎","2020","新北市","M","是","20-24",NA,NA,"12",3
"嚴重特殊傳染性肺炎","2020","新北市","M","是","20-24",NA,NA,"13",2
"嚴重特殊傳染性肺炎","2020","新北市","M","是","20-24",NA,NA,"16",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","20-24",NA,NA,"19",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","25-29",NA,NA,"10",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","25-29",NA,NA,"13",4
"嚴重特殊傳染性肺炎","2020","新北市","M","是","30-34",NA,NA,"10",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","30-34",NA,NA,"11",2
"嚴重特殊傳染性肺炎","2020","新北市","M","是","30-34",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","30-34",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","35-39",NA,NA,"10",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","35-39",NA,NA,"12",2
"嚴重特殊傳染性肺炎","2020","新北市","M","是","35-39",NA,NA,"29",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","4",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","40-44",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","45-49",NA,NA,"12",2
"嚴重特殊傳染性肺炎","2020","新北市","M","是","45-49",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","50-54",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","50-54",NA,NA,"25",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","55-59",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","55-59",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","55-59",NA,NA,"26",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","60-64",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","60-64",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","60-64",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","60-64",NA,NA,"23",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","60-64",NA,NA,"31",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","65-69",NA,NA,"30",1
"嚴重特殊傳染性肺炎","2020","新北市","M","是","70+",NA,NA,"12",2
"嚴重特殊傳染性肺炎","2020","新竹市","F","是","20-24",NA,NA,"10",1
"嚴重特殊傳染性肺炎","2020","新竹市","F","是","20-24",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","新竹市","F","是","30-34",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","新竹市","F","是","40-44",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","新竹市","M","是","20-24",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","新竹市","M","是","30-34",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","新竹市","M","是","40-44",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","新竹市","M","是","65-69",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","新竹縣","F","是","15-19",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","新竹縣","F","是","25-29",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","新竹縣","F","是","30-34",NA,NA,"16",1
"嚴重特殊傳染性肺炎","2020","新竹縣","F","是","55-59",NA,NA,"30",1
"嚴重特殊傳染性肺炎","2020","新竹縣","M","是","20-24",NA,NA,"20",1
"嚴重特殊傳染性肺炎","2020","新竹縣","M","是","20-24",NA,NA,"30",1
"嚴重特殊傳染性肺炎","2020","新竹縣","M","是","25-29",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","新竹縣","M","是","35-39",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","新竹縣","M","是","40-44",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","新竹縣","M","是","50-54",NA,NA,"29",1
"嚴重特殊傳染性肺炎","2020","新竹縣","M","是","65-69",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","15-19",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","20-24",NA,NA,"10",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","20-24",NA,NA,"12",3
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","20-24",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","20-24",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","20-24",NA,NA,"16",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","25-29",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","25-29",NA,NA,"16",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","35-39",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","35-39",NA,NA,"18",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","50-54",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","55-59",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","60-64",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","60-64",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","60-64",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","65-69",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","65-69",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","桃園市","F","是","65-69",NA,NA,"15",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","15-19",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","15-19",NA,NA,"13",2
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","20-24",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","25-29",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","25-29",NA,NA,"14",2
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","30-34",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","30-34",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","30-34",NA,NA,"9",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","35-39",NA,NA,"29",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","40-44",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","40-44",NA,NA,"28",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","40-44",NA,NA,"29",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","50-54",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","50-54",NA,NA,"6",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","55-59",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","55-59",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","55-59",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","60-64",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","60-64",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","65-69",NA,NA,"15",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","65-69",NA,NA,"25",1
"嚴重特殊傳染性肺炎","2020","桃園市","M","是","70+",NA,NA,"28",1
"嚴重特殊傳染性肺炎","2020","空值","F","是","15-19","10",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","15-19","11",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","15-19","12",6,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","15-19","13",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","20-24","10",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","20-24","11",10,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","20-24","12",25,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","20-24","13",11,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","20-24","14",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","20-24","15",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","20-24","16",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","20-24","31",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","25-29","10",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","25-29","11",9,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","25-29","12",8,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","25-29","13",5,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","25-29","14",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","25-29","16",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","25-29","19",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","25-29","28",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","25-29","29",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","25-29","30",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","25-29","31",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","25-29","33",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","25-29","5",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","30-34","10",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","30-34","11",7,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","30-34","12",6,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","30-34","13",6,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","30-34","14",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","30-34","16",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","30-34","32",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","35-39","10",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","35-39","11",4,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","35-39","12",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","35-39","13",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","35-39","14",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","35-39","15",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","35-39","18",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","35-39","29",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","35-39","9",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","40-44","11",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","40-44","12",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","40-44","13",3,NA,NA
