"確定病名","個案研判日","縣市","鄉鎮","性別","是否為境外移入","年齡層","確定病例數"
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","女","是","50-54",2
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","女","是","50-54",2
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","女","是","50-54",2
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","女","是","50-54",28
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","女","是","50-54",2
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",28
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/24","空值","空值","男","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/26","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/26","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/26","空值","空值","女","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/26","空值","空值","女","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/26","空值","空值","女","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/26","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/26","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/26","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/26","空值","空值","女","是","55-59",28
"嚴重特殊傳染性肺炎","2020/01/26","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/26","空值","空值","女","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/26","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/26","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",28
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/27","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",4
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",4
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",4
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",10
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",4
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",6
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",56
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",12
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",4
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",8
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","空值","空值","女","是","70+",2
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","二水鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","二林鎮","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","大村鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","大城鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","北斗鎮","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","永靖鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","田中鎮","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","田尾鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","竹塘鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","伸港鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","秀水鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","其他","男","否","50-54",28
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","和美鎮","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","社頭鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","芳苑鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","花壇鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","芬園鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","埔心鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","埔鹽鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","埤頭鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","鹿港鎮","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","溪州鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","溪湖鎮","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","彰化市","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","福興鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/28","彰化縣","線西鄉","男","否","50-54",1
"嚴重特殊傳染性肺炎","2020/01/30","南投縣","中寮鄉","女","否","40-44",1
"嚴重特殊傳染性肺炎","2020/01/30","南投縣","仁愛鄉","女","否","40-44",1
"嚴重特殊傳染性肺炎","2020/01/30","南投縣","水里鄉","女","否","40-44",1
"嚴重特殊傳染性肺炎","2020/01/30","南投縣","名間鄉","女","否","40-44",1
"嚴重特殊傳染性肺炎","2020/01/30","南投縣","竹山鎮","女","否","40-44",1
"嚴重特殊傳染性肺炎","2020/01/30","南投縣","其他","女","否","40-44",28
"嚴重特殊傳染性肺炎","2020/01/30","南投縣","信義鄉","女","否","40-44",1
"嚴重特殊傳染性肺炎","2020/01/30","南投縣","南投市","女","否","40-44",1
"嚴重特殊傳染性肺炎","2020/01/30","南投縣","埔里鎮","女","否","40-44",1
"嚴重特殊傳染性肺炎","2020/01/30","南投縣","草屯鎮","女","否","40-44",1
"嚴重特殊傳染性肺炎","2020/01/30","南投縣","國姓鄉","女","否","40-44",1
"嚴重特殊傳染性肺炎","2020/01/30","南投縣","魚池鄉","女","否","40-44",1
"嚴重特殊傳染性肺炎","2020/01/30","南投縣","鹿谷鄉","女","否","40-44",1
"嚴重特殊傳染性肺炎","2020/01/30","南投縣","集集鎮","女","否","40-44",1
"嚴重特殊傳染性肺炎","2020/01/31","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/01/31","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/01/31","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/01/31","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/01/31","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/01/31","空值","空值","男","是","40-44",28
"嚴重特殊傳染性肺炎","2020/01/31","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/01/31","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/01/31","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/01/31","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/01/31","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/01/31","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/01/31","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/01/31","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","男","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","男","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","男","是","45-49",2
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","男","是","45-49",2
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","男","是","45-49",2
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","男","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","男","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","男","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","男","是","45-49",28
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","男","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","男","是","45-49",2
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","男","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","男","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",2
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",5
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",2
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",2
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",28
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",6
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",4
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","45-49",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","25-29",28
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/02/06","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","女","是","50-54",2
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","女","是","50-54",2
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","女","是","50-54",2
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","女","是","50-54",28
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","女","是","50-54",2
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","男","是","50-54",1
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","男","是","50-54",1
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","男","是","50-54",2
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","男","是","50-54",2
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","男","是","50-54",2
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","男","是","50-54",1
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","男","是","50-54",1
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","男","是","50-54",1
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","男","是","50-54",28
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","男","是","50-54",1
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","男","是","50-54",2
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","男","是","50-54",1
"嚴重特殊傳染性肺炎","2020/02/07","空值","空值","男","是","50-54",1
"嚴重特殊傳染性肺炎","2020/02/08","空值","空值","男","是","20-24",1
"嚴重特殊傳染性肺炎","2020/02/08","空值","空值","男","是","20-24",1
"嚴重特殊傳染性肺炎","2020/02/08","空值","空值","男","是","20-24",2
"嚴重特殊傳染性肺炎","2020/02/08","空值","空值","男","是","20-24",2
"嚴重特殊傳染性肺炎","2020/02/08","空值","空值","男","是","20-24",2
"嚴重特殊傳染性肺炎","2020/02/08","空值","空值","男","是","20-24",1
"嚴重特殊傳染性肺炎","2020/02/08","空值","空值","男","是","20-24",1
"嚴重特殊傳染性肺炎","2020/02/08","空值","空值","男","是","20-24",1
"嚴重特殊傳染性肺炎","2020/02/08","空值","空值","男","是","20-24",28
"嚴重特殊傳染性肺炎","2020/02/08","空值","空值","男","是","20-24",1
"嚴重特殊傳染性肺炎","2020/02/08","空值","空值","男","是","20-24",2
"嚴重特殊傳染性肺炎","2020/02/08","空值","空值","男","是","20-24",1
"嚴重特殊傳染性肺炎","2020/02/08","空值","空值","男","是","20-24",1
"嚴重特殊傳染性肺炎","2020/02/09","空值","空值","男","是","20-24",1
"嚴重特殊傳染性肺炎","2020/02/09","空值","空值","男","是","20-24",1
"嚴重特殊傳染性肺炎","2020/02/09","空值","空值","男","是","20-24",2
"嚴重特殊傳染性肺炎","2020/02/09","空值","空值","男","是","20-24",2
"嚴重特殊傳染性肺炎","2020/02/09","空值","空值","男","是","20-24",2
"嚴重特殊傳染性肺炎","2020/02/09","空值","空值","男","是","20-24",1
"嚴重特殊傳染性肺炎","2020/02/09","空值","空值","男","是","20-24",1
"嚴重特殊傳染性肺炎","2020/02/09","空值","空值","男","是","20-24",1
"嚴重特殊傳染性肺炎","2020/02/09","空值","空值","男","是","20-24",28
"嚴重特殊傳染性肺炎","2020/02/09","空值","空值","男","是","20-24",1
"嚴重特殊傳染性肺炎","2020/02/09","空值","空值","男","是","20-24",2
"嚴重特殊傳染性肺炎","2020/02/09","空值","空值","男","是","20-24",1
"嚴重特殊傳染性肺炎","2020/02/09","空值","空值","男","是","20-24",1
"嚴重特殊傳染性肺炎","2020/02/16","彰化縣","二水鄉","男","否","55-59",1
"嚴重特殊傳染性肺炎","2020/02/16","彰化縣","二水鄉","男","否","60-64",1
"嚴重特殊傳染性肺炎","2020/02/16","彰化縣","二林鎮","男","否","55-59",1
"嚴重特殊傳染性肺炎","2020/02/16","彰化縣","二林鎮","男","否","60-64",1
"嚴重特殊傳染性肺炎","2020/02/16","彰化縣","大村鄉","男","否","55-59",1
"嚴重特殊傳染性肺炎","2020/02/16","彰化縣","大村鄉","男","否","60-64",1
"嚴重特殊傳染性肺炎","2020/02/16","彰化縣","大城鄉","男","否","55-59",1
"嚴重特殊傳染性肺炎","2020/02/16","彰化縣","大城鄉","男","否","60-64",1
"嚴重特殊傳染性肺炎","2020/02/16","彰化縣","北斗鎮","男","否","55-59",1
"嚴重特殊傳染性肺炎","2020/02/16","彰化縣","北斗鎮","男","否","60-64",1
